treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,learner_y,learner_d
treated,0.04807027162401813,0.004122804370298499,0.03998957505823307,0.05615096818980318,0.35009073455998624,0.8085047325616899,0.4756369517073865,0.6245871152191412,0.3691144612797666,36027,GBF,GBF
treated,0.04825351372719778,0.00411777489283752,0.04018267493723624,0.056324352517159317,0.3501261779064589,0.8082271629611125,0.47688171892849557,0.620423571210481,0.3692437054502582,36027,GBF,Logit
treated,0.047241965438589564,0.004065688386983042,0.0392732162001028,0.05521071467707633,0.3501672407007696,0.8078108085602465,0.4827879281670066,0.608515835345713,0.3691806147270985,36027,GBF,Tree
treated,0.05209438502543543,0.004063260517646258,0.04413039441084876,0.0600583756400221,0.3502592609395942,0.8074777250395536,0.481985349089773,0.6084603214255975,0.369386706580556,36027,GBF,MLP
treated,0.04592782402047314,0.004054959527706027,0.03798010334616933,0.053875544694776956,0.3502971239894665,0.8083104338412856,0.48400445164641076,0.5951092236378271,0.3693529597567722,36027,GBF,RF
treated,0.04728068523642452,0.004161238245738648,0.03912465827477677,0.05543671219807227,0.3532786667791111,0.8048408138340689,0.47575058413912114,0.6258084214616815,0.37221927373622105,36027,Logit,GBF
treated,0.05033245641478736,0.004151787673698852,0.04219495257433761,0.05846996025523711,0.3532786667791111,0.8048408138340689,0.47688171892849557,0.620423571210481,0.37212622700141723,36027,Logit,Logit
treated,0.05266818438274032,0.004110302688985476,0.04461199111232879,0.06072437765315185,0.3532786667791111,0.8048408138340689,0.48173447979772827,0.611541343992006,0.3721313447737908,36027,Logit,MLP
treated,0.04606926877398615,0.004101089692642457,0.03803113297640694,0.05410740457156536,0.3532786667791111,0.8048408138340689,0.4827879281670066,0.608515835345713,0.3721782939467716,36027,Logit,Tree
treated,0.0448070922966299,0.004089403954196643,0.03679186054640448,0.05282232404685532,0.3532786667791111,0.8048408138340689,0.484029537713838,0.5984123018846976,0.3722106770407874,36027,Logit,RF
treated,0.04976324029030711,0.00416061654738629,0.04160843185742998,0.05791804872318424,0.355997069441253,0.797512976378827,0.48395783779492685,0.5964138007605407,0.3746621134543401,36027,RF,RF
treated,0.05050192394421716,0.004224939365306772,0.04222104278821589,0.05878280510021843,0.3561285015676202,0.7984844699808477,0.47688171892849557,0.620423571210481,0.3748749496733206,36027,RF,Logit
treated,0.051818872783432064,0.004171411587641918,0.04364290607165391,0.05999483949521022,0.35617597437263265,0.7977350320592889,0.4827879281670066,0.608515835345713,0.3747208370960728,36027,RF,Tree
treated,0.05089959452459962,0.004236108391076499,0.04259682207808968,0.05920236697110956,0.3561809179769695,0.7976240042190579,0.4757902390625837,0.6251144974602382,0.3748862648197784,36027,RF,GBF
treated,0.05132102282451278,0.004184515949866306,0.043119371562774816,0.05952267408625074,0.3562354612159418,0.7970688650179032,0.48173997925157264,0.6115691009520637,0.3750646850575381,36027,RF,MLP
treated,0.0522488239455362,0.004181730873520751,0.044052631433435525,0.06044501645763687,0.35721420803273307,0.7963749410164599,0.4758717047607972,0.6245871152191412,0.37593772728154634,36027,Tree,GBF
treated,0.05010202634351936,0.004175474704670279,0.04191809592236562,0.0582859567646731,0.35721420803273307,0.7963749410164599,0.47688171892849557,0.620423571210481,0.37605381295089224,36027,Tree,Logit
treated,0.05132995451913436,0.004141945421464266,0.0432117414930644,0.059448167545204315,0.35721420803273307,0.7963749410164599,0.48116627615041324,0.6125405945540844,0.37610830536127965,36027,Tree,MLP
treated,0.052356478543046425,0.004122315165820757,0.044276740818037744,0.06043621626805511,0.35721420803273307,0.7963749410164599,0.4827879281670066,0.608515835345713,0.37583648569147315,36027,Tree,Tree
treated,0.05088481502098256,0.004109298792199336,0.04283058938827186,0.058939040653693264,0.35721420803273307,0.7963749410164599,0.48412215651336993,0.595553334998751,0.37586821088693223,36027,Tree,RF
treated,0.04661795913588556,0.00421594041211655,0.03835471592813712,0.054881202343634,0.35777265894755383,0.8040081050323369,0.47590538897233886,0.6247814139395453,0.37644766627523646,36027,MLP,GBF
treated,0.04286320470992943,0.0041839521532449344,0.034662658489569356,0.0510637509302895,0.3578880695934728,0.8038415632719904,0.4840040068963292,0.5967191273211758,0.37668178215806714,36027,MLP,RF
treated,0.04838504550004661,0.00421163435890091,0.040130242156600826,0.056639848843492394,0.3581597303504115,0.8031198823104894,0.47688171892849557,0.620423571210481,0.37724893152785166,36027,MLP,Logit
treated,0.04681480602679649,0.004174424024145346,0.03863293493947161,0.054996677114121366,0.35827932443612054,0.8022594165486996,0.4827879281670066,0.608515835345713,0.37722326201007433,36027,MLP,Tree
treated,0.05313649433663099,0.004182207590420524,0.044939367459406764,0.06133362121385522,0.3583759651374674,0.8032309101507203,0.4823434756605309,0.6095705998279068,0.3771502273102136,36027,MLP,MLP
