,treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,rmse D1,rmse D2,learner_y,learner_d
23,OPP_treated,0.016690309005315214,0.002514992209795809,0.011760924274115427,0.021619693736515,0.24565546610195182,0.9054505764376833,0.4688801595323593,0.6535916501807764,0.24546648213214342,43977,0.15630713644374342,0.4688801595323593,Tree,RF
28,CVE_treated,0.03830093248555202,0.00746684175115159,0.023665922653294903,0.05293594231780913,0.24565546610195182,0.9054505764376833,0.15800753786539687,0.9749414466653024,0.2455186583684592,43977,0.15800753786539687,0.46593591848172133,Tree,MLP
29,OPP_treated,0.01357498143625161,0.0025322121298526363,0.008611845661740444,0.018538117210762775,0.24565546610195182,0.9054505764376833,0.46593591848172133,0.6602769629579098,0.2455186583684592,43977,0.15800753786539687,0.46593591848172133,Tree,MLP
20,CVE_treated,0.040183517666980674,0.007564482611014048,0.02535713174939314,0.05500990358456821,0.24565546610195182,0.9054505764376833,0.30375998454712716,0.9749414466653024,0.24551306785939375,43977,0.30375998454712716,0.46243773048623077,Tree,Logit
21,OPP_treated,0.013841195742608581,0.0025531549860903884,0.00883701196987142,0.01884537951534574,0.24565546610195182,0.9054505764376833,0.46243773048623077,0.6610046160492985,0.24551306785939375,43977,0.30375998454712716,0.46243773048623077,Tree,Logit
6,CVE_treated,0.04033250142859802,0.007605610278447937,0.02542550528284006,0.05523949757435598,0.24707641890082543,0.9109534529413102,0.156120139034357,0.9749187075061965,0.24695360794143656,43977,0.156120139034357,0.4614572429702135,Logit,GBF
7,OPP_treated,0.011627602062027138,0.0025731287601561043,0.006584269692121173,0.016670934431933102,0.24707641890082543,0.9109534529413102,0.4614572429702135,0.6619596607317462,0.24695360794143656,43977,0.156120139034357,0.4614572429702135,Logit,GBF
2,CVE_treated,0.04086267105599525,0.007589757840791423,0.025986745688044065,0.05573859642394644,0.24707641890082543,0.9109534529413102,0.15630680335659697,0.9749414466653024,0.24694258455757992,43977,0.15630680335659697,0.4687999603938626,Logit,RF
3,OPP_treated,0.012326207678947024,0.002530569352862338,0.007366291747336841,0.017286123610557206,0.24707641890082543,0.9109534529413102,0.4687999603938626,0.6535916501807764,0.24694258455757992,43977,0.15630680335659697,0.4687999603938626,Logit,RF
4,CVE_treated,0.04104418889270948,0.007591441355655746,0.026164963835624215,0.05592341394979474,0.24707641890082543,0.9109534529413102,0.15630702870399935,0.9749414466653024,0.2469391640579477,43977,0.15630702870399935,0.46801798000785716,Logit,Tree
