treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,learner_y,learner_d
treated,0.02563272943341304,0.0037160845038848754,0.018349203805798686,0.0329162550610274,0.31072165050399553,0.8500569017681183,0.4756104253976378,0.6247536569794876,0.3219574525686766,36027,GBF,GBF
treated,0.024147421160294592,0.0036500077973673772,0.016993405877454532,0.03130143644313465,0.31076326217682015,0.8497515752074832,0.48386442261131557,0.5963305298803675,0.3219743633582653,36027,GBF,RF
treated,0.02657927552034533,0.00366171772238287,0.019402308784474902,0.033756242256215756,0.31083977894266807,0.850723068809504,0.48249267132708834,0.6096261137480223,0.3219729338857763,36027,GBF,Tree
treated,0.02743718457669386,0.0036673212319140096,0.020249234962142402,0.03462513419124532,0.3108824209580051,0.8500291448080606,0.48241251592546214,0.6121797540733339,0.32209798710795245,36027,GBF,MLP
treated,0.026942246526662862,0.0037142561367379447,0.01966230449865649,0.034222188554669235,0.3109367798929149,0.8496405473672524,0.4763365109677359,0.6219779609737142,0.3221539485603166,36027,GBF,Logit
treated,0.028404015010321974,0.0037611600787971497,0.02103214125587956,0.03577588876476439,0.31606563965186585,0.8457545729591696,0.4753868147963236,0.6269186998639908,0.32712338620069686,36027,Tree,GBF
treated,0.028598604417009878,0.003755536995299308,0.021237751906223234,0.03595945692779652,0.31606563965186585,0.8457545729591696,0.4763365109677359,0.6219779609737142,0.3271697604534011,36027,Tree,Logit
treated,0.03182939689510785,0.0037226275566365204,0.02453304688410027,0.03912574690611543,0.31606563965186585,0.8457545729591696,0.4807071665033211,0.6151219918394537,0.32710839074932824,36027,Tree,MLP
treated,0.029963328818102295,0.0037029831835965195,0.022705481778253118,0.037221175857951476,0.31606563965186585,0.8457545729591696,0.48249267132708834,0.6096261137480223,0.327035022583106,36027,Tree,Tree
treated,0.027158640640880853,0.003696588092159864,0.01991332798024752,0.03440395330151419,0.31606563965186585,0.8457545729591696,0.48362401017006484,0.5965803425208871,0.3271045592880652,36027,Tree,RF
treated,0.02816141971811578,0.003827233961275976,0.020660041154014867,0.03566279828221669,0.31634100716996627,0.8403142087878536,0.4752765946981304,0.6273350542648569,0.3273760497730337,36027,RF,GBF
treated,0.028373898328272674,0.003785218773050828,0.02095486953309305,0.0357929271234523,0.3163594762976161,0.8393982291059483,0.481249715366046,0.6130402198351237,0.32745830136294274,36027,RF,MLP
treated,0.029400624785304176,0.0038204725775161596,0.0219124985333725,0.03688875103723585,0.31644204185478614,0.8400366391872762,0.4763365109677359,0.6219779609737142,0.3274728631761707,36027,RF,Logit
treated,0.02626045472957991,0.003762876856151776,0.01888521609152243,0.03363569336763739,0.31645515543192015,0.8403419657479113,0.4835683796315088,0.598689871485275,0.3274971145734225,36027,RF,RF
treated,0.029493131612944975,0.0037690072375840176,0.0221058774272803,0.03688038579860965,0.31647529636206695,0.8387875759846781,0.48249267132708834,0.6096261137480223,0.3274395048366036,36027,RF,Tree
treated,0.02561786640974176,0.0038210917506856755,0.018128526578397836,0.033107206241085686,0.31707411825656734,0.8491409220862132,0.47549965117019927,0.6258084214616815,0.32756545569398604,36027,Logit,GBF
treated,0.030590246342831723,0.003815133418616969,0.023112584842342465,0.03806790784332098,0.31707411825656734,0.8491409220862132,0.4763365109677359,0.6219779609737142,0.32743632911070764,36027,Logit,Logit
treated,0.028092819151085798,0.0037802843375222975,0.020683461849542097,0.0355021764526295,0.31707411825656734,0.8491409220862132,0.48127028652594117,0.6117633996724678,0.3275461908703837,36027,Logit,MLP
treated,0.025871393427991562,0.003763023416304928,0.018495867532033902,0.03324691932394922,0.31707411825656734,0.8491409220862132,0.48249267132708834,0.6096261137480223,0.32752808052047333,36027,Logit,Tree
treated,0.02338625884614797,0.003755286267910707,0.016025897761042986,0.030746619931252956,0.31707411825656734,0.8491409220862132,0.48372607604510304,0.5966358564410026,0.32758681436376014,36027,Logit,RF
treated,0.02441565509597027,0.0037805460650995218,0.01700578480837521,0.03182552538356533,0.31861771228135294,0.8472812057623449,0.48249267132708834,0.6096261137480223,0.32948093862954525,36027,MLP,Tree
treated,0.01860929483247996,0.0038073214221401577,0.01114694484508525,0.026071644819874666,0.3191275796841593,0.8488911094456935,0.4835910900742897,0.5983845449246399,0.3301120836855374,36027,MLP,RF
treated,0.027980008030379675,0.003854235613336366,0.020425706228240397,0.03553430983251896,0.31930419497179485,0.8465317678407861,0.4763365109677359,0.6219779609737142,0.33009232955935197,36027,MLP,Logit
treated,0.022824874668373938,0.003867958740923171,0.015243675536164524,0.030406073800583352,0.3193956703243568,0.8475310184028645,0.475466601628311,0.6260859910622588,0.3303833250567729,36027,MLP,GBF
treated,0.030029976542037522,0.003837186181871115,0.022509091625570136,0.037550861458504906,0.32064564852559363,0.8454770033585922,0.48182061188275765,0.6111527465511977,0.3317071736428072,36027,MLP,MLP
