treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,learner_y,learner_d
treated,0.005507273501947946,0.010739236981484365,-0.015541630981761409,0.0265561779856573,0.27084260959429723,0.8889217134416544,0.44712228823535377,0.7107828655834564,0.27220344638380795,3385,GBF,RF
treated,0.0014200455140448408,0.010696452338647989,-0.019545001069705217,0.022385092097794896,0.27130124506581976,0.8903988183161005,0.44920666873780996,0.7087149187592319,0.2727188547330446,3385,GBF,Logit
treated,0.005180645310262455,0.010503958121770792,-0.015407112608408297,0.025768403228933208,0.27149460041503504,0.8895125553914328,0.45978470346795913,0.7010339734121123,0.2728023485844958,3385,GBF,MLP
treated,0.005418259900312017,0.010758561228530267,-0.015668520107607307,0.026505039908231342,0.2720507109592273,0.8841949778434269,0.4488003661871183,0.7093057607090103,0.2733859514908138,3385,GBF,GBF
treated,0.01089671881684942,0.010243964823509213,-0.009181452237228637,0.030974889870927474,0.2724146277379593,0.8850812407680946,0.47050915183053266,0.6729689807976367,0.27371365012886417,3385,GBF,Tree
treated,0.010040821270642859,0.010609263748180834,-0.010753335675791576,0.030834978217077293,0.273159902762671,0.8906942392909897,0.4580840077521369,0.7019202363367799,0.27439498347870905,3385,RF,MLP
treated,0.0063567271686426705,0.010830145935158332,-0.01487035886426766,0.027583813201553002,0.2732405433069269,0.8886262924667652,0.4490992536025174,0.7096011816838995,0.27455497733514544,3385,RF,GBF
treated,0.002133636110050727,0.010833914422532833,-0.019100836158113626,0.02336810837821508,0.27353277567647405,0.8874446085672083,0.44920666873780996,0.7087149187592319,0.2749088223050656,3385,RF,Logit
treated,0.006318937651269293,0.010879511340916886,-0.015004904576927804,0.027642779879466388,0.2735453804515623,0.889807976366322,0.4472944106845051,0.7107828655834564,0.27487067416813377,3385,RF,RF
treated,0.010298868293884515,0.010346681951462036,-0.009980628330981076,0.030578364918750107,0.2737396225705242,0.8889217134416544,0.4705159158671752,0.6732644017725259,0.2750220816859285,3385,RF,Tree
treated,5.368174458511438e-05,0.011137513419016396,-0.021775844556687022,0.021883208045857253,0.28024506961764367,0.8850812407680946,0.4471276102232168,0.712850812407681,0.2815033804045857,3385,Logit,RF
treated,-0.00162146924720949,0.011089741377929984,-0.023357362347952257,0.020114423853533278,0.28024506961764367,0.8850812407680946,0.44918710003130524,0.7093057607090103,0.2815215650960658,3385,Logit,GBF
treated,-0.00038131028816375056,0.011093771326433589,-0.022125102087973584,0.021362481511646086,0.28024506961764367,0.8850812407680946,0.44920666873780996,0.7087149187592319,0.28150814354980885,3385,Logit,Logit
treated,-0.004492824698167526,0.010876388396889963,-0.025810545956071854,0.0168248965597368,0.28024506961764367,0.8850812407680946,0.4582185417777254,0.6995568685376662,0.28155634809925484,3385,Logit,MLP
treated,0.006303822070867025,0.0105846682212938,-0.014442127642868823,0.027049771784602872,0.28024506961764367,0.8850812407680946,0.4705159158671752,0.6732644017725259,0.28143048655915076,3385,Logit,Tree
treated,0.005881208183496512,0.010990461549336607,-0.015660096453203237,0.02742251282019626,0.28146399667137384,0.8833087149187593,0.4499025439937746,0.7090103397341211,0.2829515289743908,3385,Tree,GBF
treated,0.005288601092725841,0.011063324648595904,-0.01639551521852213,0.026972717403973813,0.28161901185472976,0.8830132939438701,0.4470662250803877,0.7098966026587887,0.28311785757575697,3385,Tree,RF
treated,0.0008173286413681143,0.011015629673664646,-0.02077330551901459,0.02240796280175082,0.28161901185472976,0.8830132939438701,0.44920666873780996,0.7087149187592319,0.2831659751453841,3385,Tree,Logit
treated,0.0010328479855538772,0.010938570348916894,-0.020406749898323234,0.02247244586943099,0.28161901185472976,0.8830132939438701,0.4534735217664097,0.7081240768094534,0.28316283435564316,3385,Tree,MLP
treated,0.007966761167380577,0.010509777708971716,-0.012632403142203985,0.02856592547696514,0.28161901185472976,0.8830132939438701,0.4705159158671752,0.6732644017725259,0.2830908019512376,3385,Tree,Tree
treated,-0.005619814781916168,0.011558459839152227,-0.028274396066654533,0.017034766502822197,0.2950141650022871,0.880354505169867,0.45697006515856253,0.7060561299852289,0.2961804911281075,3385,MLP,MLP
treated,0.0033734137032817696,0.011856100429692994,-0.0198645431389165,0.02661137054548004,0.2971403903027424,0.8785819793205317,0.44953345400284817,0.7096011816838995,0.2981235455949702,3385,MLP,GBF
treated,0.004442881846710826,0.012139705941931776,-0.019350941799475455,0.028236705492897106,0.3024498962110031,0.8779911373707533,0.4469136916255545,0.7098966026587887,0.30336513186104175,3385,MLP,RF
treated,0.011713152953030992,0.011664678640606132,-0.011149617182557026,0.03457592308861901,0.30486439880340255,0.8714918759231906,0.4703248772697712,0.6738552437223043,0.3059534658103115,3385,MLP,Tree
treated,-0.0023514394418332266,0.012333805714748935,-0.02652569864274114,0.021822819759074685,0.3055235496553684,0.8744460856720827,0.44920666873780996,0.7087149187592319,0.30657170735196904,3385,MLP,Logit
