treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,rmse D1,rmse D2,learner_y,learner_d
CVE_treated,0.08856855280293822,0.009200922339277133,0.07053474501795505,0.1066023605879214,0.31303096917771234,0.8483298087636719,0.16336324290423362,0.9724401391636537,0.3122737994579271,43977,0.16336324290423362,0.4634237029186816,GBF,GBF
OPP_treated,0.039566074072331224,0.003243451647374272,0.03320890884347765,0.0459232393011848,0.31303096917771234,0.8483298087636719,0.4634237029186816,0.6563430884325898,0.3122737994579271,43977,0.16336324290423362,0.4634237029186816,GBF,GBF
CVE_treated,0.0877225060737199,0.009210591264206107,0.06966974719587593,0.10577526495156386,0.31305622604461486,0.8475111990358597,0.30631563989491606,0.9725083566409715,0.3123401785201616,43977,0.30631563989491606,0.4647987359284876,GBF,Logit
OPP_treated,0.038026979565013434,0.003235398227010585,0.03168559904007269,0.04436836008995418,0.31305622604461486,0.8475111990358597,0.4647987359284876,0.6553198262728245,0.3123401785201616,43977,0.30631563989491606,0.4647987359284876,GBF,Logit
CVE_treated,0.08950206467851453,0.009186313907717458,0.07149688941938831,0.10750723993764075,0.3130823300332699,0.8476703731496009,0.16351371052304817,0.9725083566409715,0.31226519039484196,43977,0.16351371052304817,0.47024481559475306,GBF,Tree
OPP_treated,0.04094529726474999,0.003194268868584456,0.03468453028232446,0.04720606424717552,0.3130823300332699,0.8476703731496009,0.47024481559475306,0.6543647815903768,0.31226519039484196,43977,0.16351371052304817,0.47024481559475306,GBF,Tree
CVE_treated,0.08621928966748701,0.009110373661435295,0.06836295729107383,0.1040756220439002,0.31313495881432113,0.8472383291265889,0.16499893918696046,0.9725083566409715,0.31243673115806975,43977,0.16499893918696046,0.4679603866770694,GBF,MLP
OPP_treated,0.036997155658297684,0.0032129576159828773,0.030699758730971242,0.043294552585624126,0.31313495881432113,0.8472383291265889,0.4679603866770694,0.6537053459763058,0.31243673115806975,43977,0.16499893918696046,0.4679603866770694,GBF,MLP
CVE_treated,0.08942496409810509,0.00918936755170797,0.07141380369675747,0.10743612449945271,0.3132342449231695,0.8471018941719535,0.16351355058620234,0.9725083566409715,0.3124396068008141,43977,0.16351355058620234,0.47088325327345965,GBF,RF
OPP_treated,0.03999330390523774,0.0031909951642863847,0.033738953383236424,0.046247654427239056,0.3132342449231695,0.8471018941719535,0.47088325327345965,0.6459058144029833,0.3124396068008141,43977,0.16351355058620234,0.47088325327345965,GBF,RF
CVE_treated,0.09034610557317983,0.009325803429616723,0.07206753085113106,0.1086246802952286,0.3174240192659294,0.8451008481706347,0.16341633327504104,0.9724401391636537,0.31661215491449785,43977,0.16341633327504104,0.46353032179649223,Logit,GBF
OPP_treated,0.038381055889193515,0.003287785995683847,0.03193699533765317,0.04482511644073386,0.3174240192659294,0.8451008481706347,0.46353032179649223,0.6558883052504718,0.31661215491449785,43977,0.16341633327504104,0.46353032179649223,Logit,GBF
CVE_treated,0.09088088838809719,0.009312829737621967,0.07262774210235813,0.10913403467383624,0.3174240192659294,0.8451008481706347,0.16351371052304817,0.9725083566409715,0.31656577168456945,43977,0.16351371052304817,0.47024481559475306,Logit,Tree
OPP_treated,0.039436436821276066,0.0032382610052463213,0.03308944525099328,0.045783428391558856,0.3174240192659294,0.8451008481706347,0.47024481559475306,0.6543647815903768,0.31656577168456945,43977,0.16351371052304817,0.47024481559475306,Logit,Tree
CVE_treated,0.09048234545740695,0.009310948205057143,0.07223288697549496,0.10873180393931894,0.3174240192659294,0.8451008481706347,0.16351400122972334,0.9725083566409715,0.31657958000212616,43977,0.16351400122972334,0.47095967210211115,Logit,RF
OPP_treated,0.038853209846564866,0.0032326980157588387,0.03251712173567754,0.04518929795745219,0.3174240192659294,0.8451008481706347,0.47095967210211115,0.6459058144029833,0.31657958000212616,43977,0.16351400122972334,0.47095967210211115,Logit,RF
CVE_treated,0.0881232018160867,0.009243433038307377,0.07000607306100423,0.10624033057116916,0.3174240192659294,0.8451008481706347,0.16489077870373559,0.9725083566409715,0.3166207716417524,43977,0.16489077870373559,0.46811208806381066,Logit,MLP
OPP_treated,0.03802864287771018,0.00325580169049726,0.03164727156433555,0.044410014191084805,0.3174240192659294,0.8451008481706347,0.46811208806381066,0.6519771698842577,0.3166207716417524,43977,0.16489077870373559,0.46811208806381066,Logit,MLP
CVE_treated,0.09204849636215441,0.00933469044069646,0.07375250309838935,0.11034448962591947,0.3174240192659294,0.8451008481706347,0.30631563989491606,0.9725083566409715,0.3165485032440946,43977,0.30631563989491606,0.4647987359284876,Logit,Logit
OPP_treated,0.04057123260962306,0.0032789904616536197,0.03414441130478196,0.046998053914464155,0.3174240192659294,0.8451008481706347,0.4647987359284876,0.6553198262728245,0.3165485032440946,43977,0.30631563989491606,0.4647987359284876,Logit,Logit
CVE_treated,0.08935112991324586,0.009383643509902862,0.07095918863383624,0.10774307119265547,0.319182443683104,0.8361416194829115,0.16331120349479242,0.9724628783227596,0.3183658461367087,43977,0.16331120349479242,0.4636967511274407,Tree,GBF
OPP_treated,0.04235273479182625,0.003304862529593676,0.03587520423382265,0.04883026534982986,0.319182443683104,0.8361416194829115,0.4636967511274407,0.6553653045910363,0.3183658461367087,43977,0.16331120349479242,0.4636967511274407,Tree,GBF
CVE_treated,0.09075062321059403,0.009362456965595765,0.07240020755802633,0.10910103886316173,0.319182443683104,0.8361416194829115,0.16351371052304817,0.9725083566409715,0.31825272207051125,43977,0.16351371052304817,0.47024481559475306,Tree,Tree
OPP_treated,0.04538770801272276,0.0032555174054677057,0.03900689389800606,0.05176852212743946,0.319182443683104,0.8361416194829115,0.47024481559475306,0.6543647815903768,0.31825272207051125,43977,0.16351371052304817,0.47024481559475306,Tree,Tree
CVE_treated,0.09004709258257981,0.009361408576895843,0.07169873177186396,0.10839545339329566,0.319182443683104,0.8361416194829115,0.16351403400630882,0.9725083566409715,0.31829129773877185,43977,0.16351403400630882,0.4708617965165136,Tree,RF
