treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,learner_y,learner_d
treated,0.059838815185539435,0.00971850601310062,0.040790543399862225,0.07888708697121664,0.31412106854649596,0.8488294314381271,0.20187467020965802,0.9574370709382151,0.3256521863134997,28405,GBF,RF
treated,0.059840410369649905,0.009753417316565238,0.04072371242918204,0.07895710831011776,0.3142648190429728,0.8482661503256469,0.2010060708402483,0.9574370709382151,0.3258078199349454,28405,GBF,GBF
treated,0.05952444038503827,0.009719566608932584,0.040474089831530405,0.07857479093854614,0.3143194681783672,0.8488646365076571,0.20187631819285795,0.9574370709382151,0.3258416529670577,28405,GBF,Tree
treated,0.05755886742822305,0.009681698235741595,0.03858273888616952,0.07653499597027658,0.314493662045889,0.8478436894912867,0.20331929415199118,0.9574370709382151,0.3260995764923174,28405,GBF,MLP
treated,0.0586961678811774,0.009766536621264853,0.03955375610349829,0.07783857965885652,0.3146088085673159,0.8487590212990671,0.3575877581342681,0.9574370709382151,0.32613434713008027,28405,GBF,Logit
treated,0.05997228654986464,0.009905459002461307,0.04055758690504048,0.0793869861946888,0.3180716955354316,0.8458370005280761,0.20107286848988953,0.957296250660095,0.3294629549650519,28405,Logit,GBF
treated,0.05962869093194827,0.009870628405767917,0.04028225925664315,0.07897512260725338,0.3180716955354316,0.8458370005280761,0.20187631819285795,0.9574370709382151,0.32945880162825164,28405,Logit,Tree
treated,0.05962133995918368,0.009870625154909298,0.040274914655561454,0.07896776526280591,0.3180716955354316,0.8458370005280761,0.20187644742001415,0.9574370709382151,0.32945882691890765,28405,Logit,RF
treated,0.06263957884860509,0.009777954439829935,0.04347478814653842,0.08180436955067176,0.3180716955354316,0.8458370005280761,0.2037763590418745,0.9574370709382151,0.32943756141761094,28405,Logit,MLP
treated,0.059310014931765895,0.00989960048216389,0.03990679798672467,0.07871323187680712,0.3180716955354316,0.8458370005280761,0.3575877581342681,0.9574370709382151,0.32945850565635754,28405,Logit,Logit
treated,0.0625640008078824,0.010021212689023612,0.04292242393739611,0.08220557767836867,0.3205165041048182,0.8419644428797747,0.20187631819285795,0.9574370709382151,0.3319181500588397,28405,RF,Tree
treated,0.05971118149649276,0.010060927497384279,0.03999176360161957,0.07943059939136594,0.3206749536525395,0.8401689843337441,0.3575877581342681,0.9574370709382151,0.3320851060741987,28405,RF,Logit
treated,0.06232611990953275,0.01006797607233043,0.0425928868077651,0.08205935301130039,0.3206965046291664,0.8402041894032741,0.2009734918335034,0.9573666607991551,0.3321033086955672,28405,RF,GBF
treated,0.06242510809269008,0.010029489764307288,0.04276730815464779,0.08208290803073237,0.320736538786011,0.8408378806548142,0.20187800860758018,0.9574370709382151,0.33211790224573495,28405,RF,RF
treated,0.057887839328670365,0.009951232658340341,0.0383834233183233,0.07739225533901743,0.3208233333281972,0.8398169336384439,0.2034086400484777,0.9574370709382151,0.3322673440876931,28405,RF,MLP
treated,0.06372190438040536,0.009924728726508528,0.04426943607644864,0.08317437268436206,0.32147895319047404,0.8393944728040837,0.20104236698966055,0.9574370709382151,0.3329582593887044,28405,Tree,GBF
treated,0.06192171035397521,0.009890735897446162,0.04253586799498073,0.08130755271296969,0.32147895319047404,0.8393944728040837,0.20187631819285795,0.9574370709382151,0.3329565805470704,28405,Tree,Tree
treated,0.06191877580707425,0.009890725447941437,0.04253295392910904,0.08130459768503946,0.32147895319047404,0.8393944728040837,0.20187659244956213,0.9574370709382151,0.33295657552446123,28405,Tree,RF
treated,0.06364048250628758,0.009811341928035667,0.04441025232733767,0.08287071268523749,0.32147895319047404,0.8393944728040837,0.20335556512108952,0.9574370709382151,0.332996410607232,28405,Tree,MLP
treated,0.05913351469103385,0.009920301166077292,0.03968972440552236,0.07857730497654535,0.32147895319047404,0.8393944728040837,0.3575877581342681,0.9574370709382151,0.3329871323236413,28405,Tree,Logit
treated,0.056430861629867636,0.010072956550029372,0.03668786679181007,0.07617385646792521,0.3235618561619831,0.8462242562929062,0.20187593256778352,0.9574370709382151,0.3348033309843405,28405,MLP,RF
treated,0.06258835965995223,0.010128570594731373,0.04273636129427874,0.08244035802562572,0.32369723862728655,0.8447456433726457,0.20096351240921945,0.9574018658686851,0.33445024142302543,28405,MLP,GBF
treated,0.062259897665497166,0.01003797404431721,0.042585468538635436,0.0819343267923589,0.3239231350853606,0.8443935926773455,0.20332860216726042,0.9574370709382151,0.33507620022218393,28405,MLP,MLP
treated,0.05784605007410448,0.010134464980310901,0.037982498712695115,0.07770960143551385,0.32407118935405616,0.8437599014258054,0.3575877581342681,0.9574370709382151,0.33529925251243414,28405,MLP,Logit
treated,0.05914498302747583,0.01005103729799325,0.039444949923409064,0.0788450161315426,0.32423798307878576,0.843020594965675,0.20187631819285795,0.9574370709382151,0.3353150332782903,28405,MLP,Tree
