treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,rmse D1,rmse D2,learner_y,learner_d
CVE_treated,0.12066711900650444,0.009753293605635871,0.10155066353945813,0.13978357447355075,0.3529323841777575,0.8034427086886327,0.17367303630207584,0.968870091184028,0.3517438809320824,43977,0.17367303630207584,0.4715009037778763,GBF,RF
OPP_treated,0.04897053278408245,0.0035925362628431703,0.04192916170890983,0.056011903859255065,0.3529323841777575,0.8034427086886327,0.4715009037778763,0.6439957250380881,0.3517438809320824,43977,0.17367303630207584,0.4715009037778763,GBF,RF
CVE_treated,0.12128674369213506,0.009756576697532859,0.10216385336497066,0.14040963401929946,0.352954015555256,0.8036928394387975,0.17367264291766235,0.968870091184028,0.3517294750777423,43977,0.17367264291766235,0.4706499009590148,GBF,Tree
OPP_treated,0.05031471347714133,0.0036002354587744857,0.043258251977943335,0.057371174976339326,0.352954015555256,0.8036928394387975,0.4706499009590148,0.652340996429952,0.3517294750777423,43977,0.17367264291766235,0.4706499009590148,GBF,Tree
CVE_treated,0.11503820453358941,0.009692406311314027,0.09604108816341392,0.1340353209037649,0.3530055120000791,0.8039202310298565,0.17497661900644315,0.968870091184028,0.3519574725023871,43977,0.17497661900644315,0.4682936893974768,GBF,MLP
OPP_treated,0.04565905543835443,0.0036215726821564927,0.03856077298132771,0.05275733789538116,0.3530055120000791,0.8039202310298565,0.4682936893974768,0.6503854287468449,0.3519574725023871,43977,0.17497661900644315,0.4682936893974768,GBF,MLP
CVE_treated,0.12059828910449523,0.009787331761085571,0.10141511885276751,0.13978145935622294,0.3530088271641421,0.8034199695295268,0.17333154553439944,0.968870091184028,0.35186487983815495,43977,0.17333154553439944,0.46406208639127056,GBF,GBF
OPP_treated,0.04857844745577306,0.003655660186772161,0.04141335348969963,0.055743541421846496,0.3530088271641421,0.8034199695295268,0.46406208639127056,0.6552516087955067,0.35186487983815495,43977,0.17333154553439944,0.46406208639127056,GBF,GBF
CVE_treated,0.12006686358288325,0.009787822090865959,0.10088273228478598,0.13925099488098053,0.35301596504717636,0.8040111876662801,0.31006606033068485,0.968870091184028,0.3518978306509218,43977,0.31006606033068485,0.46560392715919485,GBF,Logit
OPP_treated,0.04764179911887483,0.0036446224754820805,0.040498339066929956,0.05478525917081971,0.35301596504717636,0.8040111876662801,0.46560392715919485,0.6528412579302817,0.3518978306509218,43977,0.31006606033068485,0.46560392715919485,GBF,Logit
CVE_treated,0.12239756574945693,0.009881153900696701,0.1030305041040914,0.14176462739482246,0.3565479490381787,0.8006685312777133,0.1733774014534294,0.9688473520249221,0.3553175567828367,43977,0.1733774014534294,0.464247300558254,Logit,GBF
OPP_treated,0.048665854640615985,0.0036902072421726353,0.04143304844595762,0.05589866083527435,0.3565479490381787,0.8006685312777133,0.464247300558254,0.6544102599085886,0.3553175567828367,43977,0.1733774014534294,0.464247300558254,Logit,GBF
CVE_treated,0.1214872936739774,0.009851777737593366,0.1021778093082944,0.1407967780396604,0.3565479490381787,0.8006685312777133,0.17367180306091137,0.968870091184028,0.35529232196511334,43977,0.17367180306091137,0.47166811595070374,Logit,RF
OPP_treated,0.048670255128513466,0.0036274996717728823,0.041560355771838614,0.05578015448518832,0.3565479490381787,0.8006685312777133,0.47166811595070374,0.6439957250380881,0.35529232196511334,43977,0.17367180306091137,0.47166811595070374,Logit,RF
CVE_treated,0.12243677271005211,0.009854073757221561,0.10312278814589786,0.14175075727420638,0.3565479490381787,0.8006685312777133,0.17367264291766235,0.968870091184028,0.35524429289643517,43977,0.17367264291766235,0.4706499009590148,Logit,Tree
OPP_treated,0.050382481321925396,0.003636212459960391,0.04325550490040303,0.05750945774344776,0.3565479490381787,0.8006685312777133,0.4706499009590148,0.652340996429952,0.35524429289643517,43977,0.17367264291766235,0.4706499009590148,Logit,Tree
CVE_treated,0.11686580371377579,0.009795981983230959,0.09766567902664311,0.13606592840090848,0.3565479490381787,0.8006685312777133,0.17483980918694866,0.968870091184028,0.35537849743124383,43977,0.17483980918694866,0.4687508890446608,Logit,MLP
OPP_treated,0.04714793695638279,0.0036533429310288607,0.03998738481156622,0.054308489101199356,0.3565479490381787,0.8006685312777133,0.4687508890446608,0.6516360824976692,0.35537849743124383,43977,0.17483980918694866,0.4687508890446608,Logit,MLP
CVE_treated,0.12288040131271914,0.009882389971046438,0.10351091696946813,0.14224988565597016,0.3565479490381787,0.8006685312777133,0.31006606033068485,0.968870091184028,0.35529779354111596,43977,0.31006606033068485,0.46560392715919485,Logit,Logit
OPP_treated,0.049186049873594526,0.00367983605194115,0.04197357121178987,0.05639852853539918,0.3565479490381787,0.8006685312777133,0.46560392715919485,0.6528412579302817,0.35529779354111596,43977,0.31006606033068485,0.46560392715919485,Logit,Logit
CVE_treated,0.12103606066870494,0.009838597120095336,0.10175241031331808,0.1403197110240918,0.3588100200705336,0.80096414034609,0.17517360382001432,0.968870091184028,0.35755585867195266,43977,0.17517360382001432,0.46973180976729123,MLP,MLP
OPP_treated,0.0486694339054616,0.0036690512934131,0.04147809337037192,0.05586077444055128,0.3588100200705336,0.80096414034609,0.46973180976729123,0.6491347749960207,0.35755585867195266,43977,0.17517360382001432,0.46973180976729123,MLP,MLP
CVE_treated,0.12630550029513926,0.009918996802382845,0.10686426656246889,0.14574673402780963,0.3590082147614228,0.7964845260022284,0.17367285848228678,0.968870091184028,0.3577102972157214,43977,0.17367285848228678,0.47150982609325554,RF,RF
