treatment,estimate,stderr,lower,upper,rmse y,accuracy y,rmse D,accuracy D,rmse final,n,rmse D1,rmse D2,learner_y,learner_d
CVE_treated,0.11846550051908893,0.01025038052515731,0.0983747546897806,0.13855624634839725,0.38122101466040453,0.7732905837142142,0.1786277305459111,0.9670054801373446,0.3799519257411733,43977,0.1786277305459111,0.47180234214142214,GBF,RF
OPP_treated,0.05514442185492982,0.0038808669540554134,0.04753792262498121,0.06275092108487842,0.38122101466040453,0.7732905837142142,0.47180234214142214,0.6433135502649112,0.3799519257411733,43977,0.1786277305459111,0.47180234214142214,GBF,RF
CVE_treated,0.11924197893554746,0.010288100938236908,0.09907730109660312,0.1394066567744918,0.38137160442679074,0.7733588011915319,0.17827971812071589,0.9669827409782387,0.3801133747914387,43977,0.17827971812071589,0.4645861726700678,GBF,GBF
OPP_treated,0.05591495758306356,0.003947943027393433,0.04817698924937243,0.06365292591675469,0.38137160442679074,0.7733588011915319,0.4645861726700678,0.6529094754075995,0.3801133747914387,43977,0.17827971812071589,0.4645861726700678,GBF,GBF
CVE_treated,0.11174069915461261,0.010188906801221398,0.09177044182421867,0.13171095648500655,0.3814138938824669,0.7732223662368966,0.18002270110012955,0.9670054801373446,0.38027225557868893,43977,0.18002270110012955,0.46894731327176953,GBF,MLP
OPP_treated,0.05282650940162852,0.003911024473608269,0.04516090143335631,0.06049211736990073,0.3814138938824669,0.7732223662368966,0.46894731327176953,0.6520453873615754,0.38027225557868893,43977,0.18002270110012955,0.46894731327176953,GBF,MLP
CVE_treated,0.11899901060123924,0.01029109643852206,0.098828461581736,0.13916955962074248,0.3814142597706666,0.7732223662368966,0.31195892933415187,0.9670054801373446,0.38018643718563644,43977,0.31195892933415187,0.46573062137547255,GBF,Logit
OPP_treated,0.05481876097423857,0.003939858489529709,0.04709663833476034,0.0625408836137168,0.3814142597706666,0.7732223662368966,0.46573062137547255,0.6517042999749869,0.38018643718563644,43977,0.31195892933415187,0.46573062137547255,GBF,Logit
CVE_treated,0.12003604203421393,0.01025818479777289,0.09992999983057907,0.1401420842378488,0.38142223689307325,0.7737453668963322,0.17862699318535144,0.9670054801373446,0.380080245682762,43977,0.17862699318535144,0.470849483783946,GBF,Tree
OPP_treated,0.057491038400766276,0.0038916655331710007,0.04986337395575111,0.06511870284578143,0.38142223689307325,0.7737453668963322,0.470849483783946,0.651681560815881,0.380080245682762,43977,0.17862699318535144,0.470849483783946,GBF,Tree
CVE_treated,0.12017772371466601,0.010371613983017952,0.09984936030795083,0.14050608712138118,0.38455634366826447,0.7714259726675308,0.17831774582784937,0.9670054801373446,0.38329726950338183,43977,0.17831774582784937,0.46436782470994736,Logit,GBF
OPP_treated,0.05603139373300126,0.00398271120431992,0.04822527977253422,0.06383750769346831,0.38455634366826447,0.7714259726675308,0.46436782470994736,0.6523864747481638,0.38329726950338183,43977,0.17831774582784937,0.46436782470994736,Logit,GBF
CVE_treated,0.11843460966024243,0.010340594099015783,0.09816704522617149,0.13870217409431335,0.38455634366826447,0.7714259726675308,0.17862692299979593,0.9670054801373446,0.38328413186795585,43977,0.17862692299979593,0.47163089179578915,Logit,RF
OPP_treated,0.055657984296016344,0.003916428238853294,0.047981784947863884,0.0633341836441688,0.38455634366826447,0.7714259726675308,0.47163089179578915,0.6433135502649112,0.38328413186795585,43977,0.17862692299979593,0.47163089179578915,Logit,RF
CVE_treated,0.11946493691810012,0.010343261661518301,0.09919214406152424,0.139737729774676,0.38455634366826447,0.7714259726675308,0.17862699318535144,0.9670054801373446,0.3832323378444538,43977,0.17862699318535144,0.47085782250787866,Logit,Tree
OPP_treated,0.057386821331082256,0.003923871797741979,0.049696032607507976,0.06507761005465654,0.38455634366826447,0.7714259726675308,0.47085782250787866,0.6516588216567751,0.3832323378444538,43977,0.17862699318535144,0.47085782250787866,Logit,Tree
CVE_treated,0.11799928592982684,0.010250943347489867,0.0979074369687467,0.13809113489090696,0.38455634366826447,0.7714259726675308,0.1803012635816787,0.9670054801373446,0.3833166724647733,43977,0.1803012635816787,0.4688906923821752,Logit,MLP
OPP_treated,0.054799564773116066,0.003941878990404841,0.047073481951922576,0.06252564759430955,0.38455634366826447,0.7714259726675308,0.4688906923821752,0.6487027309730086,0.3833166724647733,43977,0.1803012635816787,0.4688906923821752,Logit,MLP
CVE_treated,0.12108353863148925,0.010373317240674656,0.10075183683976693,0.14141524042321157,0.38455634366826447,0.7714259726675308,0.31195892933415187,0.9670054801373446,0.3832239399453939,43977,0.31195892933415187,0.46573062137547255,Logit,Logit
OPP_treated,0.05829024099969367,0.00397133602229913,0.05050642239598738,0.06607405960339996,0.38455634366826447,0.7714259726675308,0.46573062137547255,0.6517042999749869,0.3832239399453939,43977,0.31195892933415187,0.46573062137547255,Logit,Logit
CVE_treated,0.1256042479144726,0.010407172366081737,0.10520619007695241,0.1460023057519928,0.3872321282094674,0.7663551401869159,0.17862727677683557,0.9670054801373446,0.3857537675007784,43977,0.17862727677683557,0.4717033072691089,RF,RF
OPP_treated,0.0609045787392266,0.0039410468248293985,0.05318012696256098,0.06862903051589223,0.3872321282094674,0.7663551401869159,0.4717033072691089,0.6433135502649112,0.3857537675007784,43977,0.17862727677683557,0.4717033072691089,RF,RF
CVE_treated,0.12401617652073177,0.010446484983158548,0.10354106595374102,0.14449128708772252,0.3872345348158988,0.7658776178456921,0.31195892933415187,0.9670054801373446,0.38592699335647074,43977,0.31195892933415187,0.46573062137547255,RF,Logit
